,Booth,Himmelblau,Rosenbrock
SGD,0.09700000000000007,0.009000000000000001,0.02000000000000001
Momentum,0.058000000000000045,0.004,0.010000000000000002
AdaGrad,0.9990000000000008,0.9970000000000008,0.9990000000000008
Adam,0.5280000000000004,0.8470000000000006,0.3140000000000002
AMSGrad,0.9070000000000007,0.6130000000000004,0.8180000000000006
NAdam,0.9990000000000008,0.9530000000000007,0.9040000000000007
NAMSGrad,0.1530000000000001,0.3030000000000002,0.20100000000000015
